"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16, 2021","60.56","60.74","61.02","60.48","2.68M","-0.30%"
"Aug 13, 2021","60.74","60.74","61.20","60.32","2.62M","-0.30%"
"Aug 12, 2021","60.92","61.40","61.44","60.74","2.90M","-0.68%"
"Aug 11, 2021","61.34","61.70","61.92","61.20","2.84M","-0.62%"
"Aug 10, 2021","61.72","61.00","61.86","60.52","3.56M","0.92%"
"Aug 09, 2021","61.16","60.54","61.38","59.88","6.84M","1.02%"
"Aug 06, 2021","60.54","60.52","60.54","60.12","6.73M","-0.46%"
"Aug 05, 2021","60.82","60.28","61.16","60.28","8.99M","0.30%"
"Aug 04, 2021","60.64","60.28","61.00","60.22","7.30M","0.10%"
"Aug 03, 2021","60.58","60.52","60.70","59.88","6.77M","0.10%"
"Aug 02, 2021","60.52","59.00","60.52","58.28","8.66M","2.72%"
"Jul 30, 2021","58.92","59.40","59.40","58.24","7.52M","-0.91%"
"Jul 29, 2021","59.46","59.70","59.70","58.60","9.82M","2.41%"
"Jul 28, 2021","58.06","57.22","58.20","56.80","8.75M","2.76%"
"Jul 27, 2021","56.50","59.52","60.28","55.86","18.24M","-5.14%"
"Jul 26, 2021","59.56","62.20","62.20","59.24","11.19M","-4.58%"
"Jul 23, 2021","62.42","63.30","63.30","62.40","2.74M","-1.39%"
"Jul 22, 2021","63.30","63.18","63.60","63.18","2.16M","0.25%"
"Jul 21, 2021","63.14","62.84","63.36","62.82","4.79M","0.77%"
"Jul 20, 2021","62.66","62.56","62.76","62.12","3.00M","0.16%"
"Jul 19, 2021","62.56","62.48","62.78","61.84","4.47M","0.10%"
"Jul 16, 2021","62.50","63.10","63.30","62.50","3.00M","-1.14%"
"Jul 15, 2021","63.22","62.36","63.42","62.28","5.18M","1.51%"
"Jul 14, 2021","62.28","62.90","62.90","62.14","4.80M","-1.14%"
"Jul 13, 2021","63.00","62.82","63.28","62.80","2.76M","0.16%"
"Jul 12, 2021","62.90","62.02","63.22","62.02","3.68M","1.88%"
"Jul 09, 2021","61.74","61.90","62.08","61.18","5.41M","-0.42%"
"Jul 08, 2021","62.00","63.16","63.16","62.00","4.37M","-1.81%"
"Jul 07, 2021","63.14","61.80","63.16","61.80","5.34M","1.28%"
"Jul 06, 2021","62.34","62.40","62.50","61.74","2.57M","0.19%"
